TIME,battery_life,transducer_depth,turbidity,water_temperature,wave_height,wave_period
2014-06-15 00:00:00,11.6,1.495,0.85,16.6,0.136,3.0
2014-06-15 01:00:00,11.6,1.42,0.87,16.3,0.117,4.0
2014-06-15 02:00:00,11.6,1.478,0.79,16.1,0.114,7.0
2014-06-15 03:00:00,11.6,1.518,0.76,15.9,0.111,3.0
2014-06-15 04:00:00,11.6,1.507,0.77,15.7,0.107,3.0
2014-06-15 05:00:00,11.6,1.484,0.73,15.6,0.104,3.0
2014-06-15 06:00:00,11.6,1.457,0.65,15.5,0.11,3.0
2014-06-15 07:00:00,11.6,1.504,0.68,15.5,0.117,3.0
2014-06-15 08:00:00,11.6,1.435,0.65,15.5,0.108,3.0
2014-06-15 09:00:00,11.6,1.435,0.65,15.5,0.108,3.0
2014-06-15 10:00:00,11.6,1.46,0.62,15.9,0.115,3.0
2014-06-15 11:00:00,11.6,1.466,0.63,16.1,0.12,3.0
2014-06-15 12:00:00,11.5,1.384,0.62,16.3,0.105,4.0
2014-06-15 13:00:00,11.5,1.429,0.62,16.4,0.105,4.0
2014-06-15 14:00:00,11.5,1.429,0.62,16.4,0.105,4.0
2014-06-15 15:00:00,11.5,1.386,0.81,16.9,0.116,3.0
2014-06-15 16:00:00,11.5,1.386,0.81,16.9,0.116,3.0
2014-06-15 17:00:00,11.5,1.438,1.03,17.2,0.111,3.0
2014-06-15 18:00:00,11.5,1.417,1.07,17.4,0.103,4.0
2014-06-15 19:00:00,11.5,1.373,1.03,17.4,0.104,3.0
2014-06-15 20:00:00,11.5,1.524,1.0,17.3,0.117,6.0
2014-06-15 21:00:00,11.5,1.362,0.85,17.0,0.117,6.0
2014-06-15 22:00:00,11.5,1.476,0.87,16.8,0.119,5.0
2014-06-15 23:00:00,11.5,1.479,0.83,16.8,0.118,3.0
2014-06-16 00:00:00,11.5,1.513,0.78,16.7,0.096,4.0
2014-06-16 01:00:00,11.5,1.464,0.75,16.6,0.089,4.0
2014-06-16 02:00:00,11.5,1.504,0.84,16.5,0.093,7.0
2014-06-16 03:00:00,11.5,1.481,0.72,16.4,0.086,6.0
2014-06-16 04:00:00,11.5,1.57,0.71,16.4,0.118,3.0
2014-06-16 05:00:00,11.5,1.481,0.69,16.4,0.087,5.0
2014-06-16 06:00:00,11.5,1.559,0.64,16.4,0.081,4.0
2014-06-16 07:00:00,11.5,1.551,0.65,16.5,0.079,4.0
2014-06-16 08:00:00,11.5,1.531,0.74,16.7,0.078,6.0
2014-06-16 09:00:00,11.5,1.496,0.72,17.1,0.089,6.0
2014-06-16 10:00:00,11.5,1.496,0.72,17.1,0.089,6.0
2014-06-16 11:00:00,11.5,1.501,0.57,18.1,0.087,4.0
2014-06-16 12:00:00,11.5,1.442,0.52,18.4,0.096,3.0
2014-06-16 13:00:00,11.5,1.445,0.75,19.0,0.091,5.0
2014-06-16 14:00:00,11.5,1.445,0.75,19.0,0.091,5.0
2014-06-16 15:00:00,11.5,1.445,0.75,19.0,0.091,5.0
2014-06-16 16:00:00,11.5,1.55,0.59,18.5,0.13,3.0
2014-06-16 17:00:00,11.5,1.493,0.81,18.6,0.132,3.0
2014-06-16 18:00:00,11.5,1.474,0.8,18.0,0.141,4.0
2014-06-16 19:00:00,11.5,1.447,0.81,17.8,0.138,2.0
2014-06-16 20:00:00,11.5,1.38,0.95,17.8,0.144,6.0
2014-06-16 21:00:00,11.5,1.463,1.06,17.8,0.133,5.0
2014-06-16 22:00:00,11.5,1.444,0.94,17.6,0.131,5.0
2014-06-16 23:00:00,11.5,1.444,0.94,17.6,0.131,5.0
2014-06-17 00:00:00,11.5,1.387,0.69,16.7,0.108,3.0
2014-06-17 01:00:00,11.5,1.42,0.84,16.6,0.106,4.0
2014-06-17 02:00:00,11.5,1.347,0.76,16.3,0.099,7.0
2014-06-17 03:00:00,11.5,1.412,0.67,15.8,0.101,5.0
2014-06-17 04:00:00,11.5,1.502,0.68,15.5,0.109,5.0
2014-06-17 05:00:00,11.5,1.374,0.62,15.2,0.086,4.0
2014-06-17 06:00:00,11.4,1.351,0.57,15.3,0.087,5.0
2014-06-17 07:00:00,11.4,1.351,0.57,15.3,0.087,5.0
2014-06-17 08:00:00,11.4,1.25,0.7,15.5,0.114,3.0
2014-06-17 09:00:00,11.4,1.311,0.84,15.4,0.103,3.0
2014-06-17 10:00:00,11.4,1.286,0.63,15.7,0.096,3.0
2014-06-17 11:00:00,11.4,1.698,0.62,16.2,0.118,4.0
2014-06-17 12:00:00,11.4,1.698,0.62,16.2,0.118,4.0
2014-06-17 13:00:00,11.4,1.298,0.66,16.9,0.128,3.0
2014-06-17 14:00:00,11.4,1.394,0.59,17.6,0.128,4.0
2014-06-17 15:00:00,11.4,1.529,0.53,18.4,0.121,5.0
2014-06-17 16:00:00,11.4,1.385,0.51,17.9,0.121,3.0
2014-06-17 17:00:00,11.4,1.521,0.56,18.0,0.135,3.0
2014-06-17 18:00:00,11.4,1.521,0.56,18.0,0.135,3.0
2014-06-17 19:00:00,11.4,1.462,1.27,17.7,0.141,6.0
2014-06-17 20:00:00,11.4,1.432,0.84,17.1,0.137,3.0
2014-06-17 21:00:00,11.4,1.538,0.82,17.5,0.148,5.0
2014-06-17 22:00:00,11.4,1.38,0.91,17.1,0.127,4.0
2014-06-17 23:00:00,11.4,1.393,1.11,16.9,0.13,4.0
2014-06-18 00:00:00,11.4,1.382,0.78,16.7,0.103,4.0
2014-06-18 01:00:00,11.4,1.418,0.82,16.4,0.095,4.0
2014-06-18 02:00:00,11.4,1.435,0.78,16.2,0.092,7.0
2014-06-18 03:00:00,11.4,1.435,0.78,16.2,0.092,7.0
2014-06-18 04:00:00,11.4,1.349,0.79,15.8,0.085,4.0
2014-06-18 05:00:00,11.4,1.408,0.8,15.6,0.077,5.0
2014-06-18 06:00:00,11.4,1.436,0.79,15.6,0.078,5.0
2014-06-18 07:00:00,11.4,1.509,0.74,15.6,0.088,5.0
2014-06-18 08:00:00,11.4,1.447,0.86,15.5,0.095,5.0
2014-06-18 09:00:00,11.4,1.255,0.87,15.7,0.081,4.0
2014-06-18 10:00:00,11.4,1.634,0.76,15.8,0.103,4.0
2014-06-18 11:00:00,11.4,1.507,0.78,15.9,0.098,4.0
2014-06-18 12:00:00,11.4,1.718,1.67,15.5,0.343,3.0
2014-06-18 13:00:00,11.4,1.46,1.49,15.6,0.244,3.0
2014-06-18 14:00:00,11.4,1.247,1.2,15.7,0.203,3.0
2014-06-18 15:00:00,11.4,1.247,1.2,15.7,0.203,3.0
2014-06-18 16:00:00,11.4,1.547,2.77,16.5,0.205,3.0
2014-06-18 17:00:00,11.4,1.677,3.17,16.5,0.22,4.0
2014-06-18 18:00:00,11.3,1.495,2.38,16.5,0.219,4.0
2014-06-18 19:00:00,11.3,1.495,2.38,16.5,0.219,4.0
