TIME,Discharge_Hoofdgemaal,Discharge_Sportlaan,Discharge_Emmastraat,Discharge_Kerkstraat,Precipitation,Temperature
2017-01-01 02:00:00,255.653,93.291,24.805,1.742,0.0,2.1
2017-01-01 03:00:00,240.232,98.391,31.567,28.681,0.0,2.0
2017-01-01 04:00:00,201.755,80.095,41.059,38.284,0.0,1.8
2017-01-01 05:00:00,182.099,58.851,37.859,39.891,0.0,1.4
2017-01-01 06:00:00,150.963,50.284,33.615,36.048,0.0,1.6
2017-01-01 07:00:00,131.477,42.49,35.589,35.283,0.0,1.6
2017-01-01 08:00:00,165.654,34.756,25.37,26.52,0.0,1.8
2017-01-01 09:00:00,238.283,43.195,23.986,19.303,0.0,1.7
2017-01-01 10:00:00,403.378,90.718,24.146,23.608,0.0,1.5
2017-01-01 11:00:00,516.844,122.712,25.138,23.998,0.0,1.3
2017-01-01 12:00:00,554.047,157.868,48.575,37.995,0.2,1.1
2017-01-01 13:00:00,545.476,163.766,84.199,70.496,0.0,1.0
2017-01-01 14:00:00,527.996,165.15,89.192,80.691,0.0,0.7
2017-01-01 15:00:00,485.489,165.076,95.202,101.806,0.4,0.6
2017-01-01 16:00:00,451.0,140.647,93.212,98.503,0.8,0.3
2017-01-01 17:00:00,447.162,125.239,86.6,85.184,1.1,0.3
2017-01-01 18:00:00,457.92,107.401,71.935,75.847,0.7,0.5
2017-01-01 19:00:00,472.376,106.021,59.667,67.035,0.3,0.5
2017-01-01 20:00:00,487.541,124.234,58.468,56.877,0.0,0.7
2017-01-01 21:00:00,510.16,143.348,61.119,58.137,0.0,1.0
2017-01-01 22:00:00,647.274,166.405,62.022,61.839,0.0,1.2
2017-01-01 23:00:00,735.552,218.33,61.428,60.732,0.0,1.7
2017-01-02 00:00:00,617.983,245.279,70.767,68.703,0.0,1.6
2017-01-02 01:00:00,429.052,208.676,88.944,78.73,0.0,1.8
2017-01-02 02:00:00,318.026,159.001,100.209,93.049,0.0,1.2
2017-01-02 03:00:00,267.524,112.944,99.827,105.661,0.0,1.9
2017-01-02 04:00:00,212.404,84.97,91.655,103.82,0.0,1.7
2017-01-02 05:00:00,202.445,65.823,71.57,84.605,0.0,1.8
2017-01-02 06:00:00,238.474,52.223,56.751,57.643,0.0,2.9
2017-01-02 07:00:00,289.953,56.138,45.228,48.585,0.0,2.9
2017-01-02 08:00:00,374.311,68.007,35.241,42.473,0.0,3.6
2017-01-02 09:00:00,471.432,102.014,36.879,35.618,0.0,3.8
2017-01-02 10:00:00,517.131,144.151,45.63,44.257,0.0,4.0
2017-01-02 11:00:00,565.868,157.35,62.867,56.45,0.0,3.1
2017-01-02 12:00:00,563.401,170.313,70.495,64.246,0.0,2.7
2017-01-02 13:00:00,515.142,173.407,80.166,71.184,0.0,2.6
2017-01-02 14:00:00,495.413,167.504,90.053,89.457,0.0,1.7
2017-01-02 15:00:00,455.192,160.111,90.474,90.995,0.0,1.2
2017-01-02 16:00:00,436.957,134.648,79.964,83.49,0.0,1.4
2017-01-02 17:00:00,466.888,129.002,63.901,77.475,0.0,1.5
2017-01-02 18:00:00,513.086,133.722,65.898,64.398,0.0,1.5
2017-01-02 19:00:00,511.673,147.555,69.581,61.153,0.0,1.1
2017-01-02 20:00:00,486.249,164.251,67.534,65.186,0.0,1.1
2017-01-02 21:00:00,448.389,153.09,75.272,73.89,0.0,0.9
2017-01-02 22:00:00,418.695,133.181,79.542,75.204,0.0,1.2
2017-01-02 23:00:00,376.196,119.143,67.513,68.482,0.0,1.9
2017-01-03 00:00:00,301.311,106.184,53.799,62.329,0.0,2.3
